,Name,Summary,Stock Type,Site,Market Cap,Net Income,Sales,Employees,Sector,Industry
CLW,Clearwater Paper Corp,"Clearwater Paper Corp is a producer of private label tissue and paperboard products. The Company manufactures consumer tissue, away-from-home tissue, parent roll tissue, bleached paperboard and pulp at manufacturing facilities across the nation.",Cyclical,http://www.clearwaterpaper.com,1.1Bil,51.8Mil,1.7Bil,"3,300",Basic Materials,Paper & Paper Products
CLF,Cliffs Natural Resources Inc,Cliffs Natural Resources Inc is a mining and natural resources company. The Company is engaged in supplying iron ore pellets to the North American steel industry from its five iron ore mines and pellet plants located in Michigan and Minnesota.,Cyclical,http://www.cliffsnaturalresources.com,1.7Bil,34.7Mil,1.8Bil,"2,638",Basic Materials,Industrial Metals & Minerals
CLX,Clorox Co,"Clorox Co is engaged in manufacturing and marketing consumer & professional products. The Company sells its products primarily through grocery and mass retail outlets, e-commerce channels, wholesale distributors and medical supply distributors.",Classic,http://www.thecloroxcompany.com,14.8Bil,0.7Bil,5.8Bil,"8,000",Consumer Defensive,Household & Personal Products
CLD,Cloud Peak Energy Inc,"Cloud Peak Energy Inc is engaged in the production of coal in the U.S. and in the Powder River Basin. Its operations include Antelope Mine, Cordero Rojo Mine and Spring Creek Mine.",Distressed,http://www.cloudpeakenergy.com,0.4Bil,-158.9Mil,0.8Bil,"1,500",Basic Materials,Coal
MYCC,ClubCorp Holdings Inc,"ClubCorp Holdings Inc along with its subsidiaries owns, leases and operates golf and country clubs and business, sports and alumni clubs. Its facilities are located in 26 states, the District of Columbia and two foreign countries.",High,http://www.clubcorp.com,0.9Bil,-8.0Mil,1.1Bil,"17,800",Consumer Cyclical,Leisure
CMS,CMS Energy Corp,CMS Energy Corp is an energy company operating in Michigan. The Company through its subsidiaries and equity investments is engaged in independent power production and owns power generation facilities fueled by natural gas and biomass.,Slow,http://www.cmsenergy.com,11.1Bil,0.6Bil,6.3Bil,"7,804",Utilities,Utilities - Regulated Electric
CNA,CNA Financial Corp,"CNA Financial Corp is an insurance holding company. The Company offers commercial, property and casualty coverage, risk management, information services, warranty and claims administration.",Slow,http://www.cna.com,10.4Bil,0.5Bil,9.2Bil,"6,900",Financial Services,Insurance - Property & Casualty
CNHI,CNH Industrial NV,"CNH Industrial NV designs, manufactures and sells agricultural and construction equipment such as trucks, commercial vehicles, buses, special vehicles, engines and transmissions for those vehicles and engines for marine applications.",,http://www.cnhindustrial.com,10.7Bil,-244.0Mil,25.0Bil,"64,391",Industrials,Farm & Construction Equipment
CNO,CNO Financial Group Inc,"CNO Financial Group Inc is a holding company for a group of insurance companies. The Company through its subsidiaries develops, markets and administers supplemental health insurance, annuity, individual life insurance and other insurance products.",Slow,http://www.cnoinc.com,3.0Bil,0.3Bil,3.9Bil,"3,500",Financial Services,Insurance - Life
CEO,CNOOC Ltd ADR,"CNOOC Ltd is an oil and gas company. The Company along with its subsidiaries is engaged in the exploration, development, production and sale of crude oil, natural gas and other petroleum products.",,http://www.cnoocltd.com,56.2Bil,-322.4Mil,21.6Bil,"20,585",Energy,Oil & Gas E&P
CNXC,CNX Coal Resources LP,CNX Coal Resources LP is a master limited partnership recently formed by CONSOL Energy to manage and further develop all of its active thermal coal operations in Pennsylvania. It mines its reserves from the Pittsburgh No. 8 Coal Seam.,Cyclical,http://www.consolenergy.com,0.5Bil,46.1Mil,0.2Bil,"1,600",Basic Materials,Coal
COH,Coach Inc,"Coach Inc markets & sells modern luxury accessories and lifestyle collections. Its product offerings include women's and men's bags, accessories, business cases, footwear, wearables, jewelry, sunwear, travel bags, watches and fragrance.",Cyclical,http://www.coach.com,10.7Bil,0.5Bil,4.5Bil,"15,100",Consumer Cyclical,Luxury Goods
CIE,Cobalt International Energy Inc,Cobalt International Energy Inc is an independent oil exploration and production company with operations in the deepwater U.S. Gulf of Mexico and offshore Angola and Gabon in West Africa.,Hard,http://www.cobaltintl.com,0.5Bil,-957.2Mil,9.0Mil,226,Energy,Oil & Gas E&P
KOF,Coca-Cola Femsa SAB de CV ADR,"Coca-Cola Femsa SAB de CV is a franchise bottler of Coca-Cola trademark beverages. The Company operates in Mexico, Central America, Colombia, Venezuela, Brazil, Argentina and the Philippines.",,http://www.coca-colafemsa.com,13.4Bil,0.5Bil,8.0Bil,"100,000",Consumer Defensive,Beverages - Soft Drinks
KO,Coca-Cola Co,"Coca-Cola Co manufactures, distributes and markets non-alcoholic beverage concentrates and syrups. It offers waters, enhanced waters, juices and juice drinks, ready-to-drink teas and coffees, and energy and sports drinks.",Slow,http://www.coca-colacompany.com,176.4Bil,7.2Bil,42.5Bil,"123,200",Consumer Defensive,Beverages - Soft Drinks
CCE,Coca-Cola European Partners PLC,"Coca-Cola European Partners PLC markets, produces & distributes nonalcoholic beverages to customers and consumers through licensed territory agreements in Belgium, Continental France, Great Britain, Luxembourg, Monaco, the Netherlands, Norway, and Sweden.",,http://www.cokecce.com,16.3Bil,0.7Bil,8.6Bil,"11,500",Consumer Defensive,Beverages - Soft Drinks
CDE,Coeur Mining Inc,"Coeur Mining Inc is a silver producer with gold production and mines located in the United States, Mexico and Bolivia; a silver streaming interest in Australia; and exploration projects in Mexico and Argentina.",Hard,http://www.coeur.com,1.8Bil,-239.3Mil,0.7Bil,"2,005",Basic Materials,Silver
CNS,Cohen & Steers Inc,"Cohen & Steers Inc is an investment manager engaged in real assets, including real estate, infrastructure and commodities, along with preferred securities and other income solutions.",Cyclical,http://www.cohenandsteers.com,1.6Bil,79.2Mil,0.3Bil,275,Financial Services,Asset Management
CFX,Colfax Corp,Colfax Corp is a diversified industrial manufacturing and engineering company. The Company provides gas- and fluid-handling and fabrication technology products and services to commercial and governmental customers around the world.,Cyclical,http://www.colfaxcorp.com,4.5Bil,0.1Bil,3.8Bil,"17,037",Industrials,Diversified Industrials
CL,Colgate-Palmolive Co,"Colgate-Palmolive Co is a consumer products company. The Company provides services such as oral care, personal care, home care and pet nutrition. Its business segments are Oral, Personal & Home Care, and Pet Nutrition.",Slow,http://www.colgate.com,58.5Bil,1.4Bil,15.4Bil,"37,900",Consumer Defensive,Household & Personal Products
CLNY,Colony Capital Inc A,"Colony Capital Inc is a real estate & investment management company. It acquires, invests, finances & manages a diversified portfolio of real estate-related debt & equity investments composed of acquired & originated loans.",Hard,http://www.colonyinc.com,2.2Bil,0.2Bil,0.9Bil,347,Real Estate,REIT - Diversified
SFR,Colony Starwood Homes,"Colony Starwood Homes is real estate investment trust. The Company acquires, renovates, leases and manages residential assets in select markets throughout the United States.",Hard,http://www.colonystarwood.com,3.0Bil,-88.4Mil,0.5Bil,836,Real Estate,REIT - Diversified
CPPL,Columbia Pipeline Partners LP,"Columbia Pipeline Partners LP owns, operates and develops a portfolio of pipelines, storage and related assets. It also offers gas transportation and storage services.",Hard,,1.7Bil,0.1Bil,1.4Bil,"8,830",Energy,Oil & Gas Midstream
CXP,Columbia Property Trust Inc,"Columbia Property Trust, Inc. operates as a real estate investment trust. The Company through its subsidiaries acquires, develops, owns, leases, and operates real properties including office properties and hotel.",Hard,http://www.columbiapropertytrust.com,2.6Bil,67.0Mil,0.5Bil,99,Real Estate,REIT - Office
CCV,Comcast Corp Pref Share,Comcast Corp is a media and technology company. The Company has two operations Comcast Cable and NBCUniversal.,Classic,http://www.comcastcorporation.com,,8.4Bil,78.6Bil,"153,000",Communication Services,Pay TV
CCZ,Castillo Copper Ltd,Castillo Copper Ltd engages in mineral exploration and examination of new resource opportunities. The Company holds copper projects in Chile and gold projects in Australia.,,http://www.castillocopper.com,4.0Mil,-0.4Mil,0.0Mil,,Basic Materials,Gold
CMA,Comerica Inc,"Comerica Inc is a financial services company which operates in three business segments: the Business Bank, the Retail Bank, and Wealth Management. It operates in three primary geographic markets: Michigan, California and Texas.",Cyclical,https://www.comerica.com,10.5Bil,0.4Bil,2.8Bil,"9,103",Financial Services,Banks - Regional - US
FIX,Comfort Systems USA Inc,"Comfort Systems USA Inc provides mechanical contracting services. The Company offers heating, ventilation and air conditioning, plumbing, piping and controls, as well as off-site construction, electrical, monitoring and fire protection.",Cyclical,http://www.comfortsystemsusa.com,1.2Bil,61.2Mil,1.6Bil,"7,301",Industrials,Engineering & Construction
CMC,Commercial Metals Co,"Commercial Metals Co manufactures, recycles and markets steel and metal products and related materials and services through a network including steel mills.",Cyclical,https://www.cmc.com,2.4Bil,54.8Mil,4.6Bil,"8,388",Basic Materials,Steel
CBU,Community Bank System Inc,"Community Bank System Inc is a single bank holding company. The Bank operates as a community bank and engages in banking, employee benefit services and wealth management services.",Cyclical,http://www.communitybankna.com,2.5Bil,97.5Mil,0.4Bil,"2,490",Financial Services,Banks - Regional - US
CYH,Community Health Systems Inc,Community Health Systems Inc operates general acute care hospitals in communities across the country. It provide healthcare services through the hospitals in non-urban and selected urban markets throughout the United States.,Speculative,http://www.chs.net,0.7Bil,-1583.0Mil,18.8Bil,"137,000",Healthcare,Medical Care
CHCT,Community Healthcare Trust Inc,"Community Healthcare Trust Inc is a healthcare real estate company. It acquires and owns properties that are leased to hospitals, doctors, healthcare systems or other healthcare service providers in Non-Urban markets.",Hard,http://www.communityhealthcaretrust.com,0.3Bil,1.8Mil,22.4Mil,9,Real Estate,REIT - Healthcare Facilities
CIG,Energy Company of Minas Gerais ADR,"Energy Company of Minas Gerais is engaged in generation, transmission and distribution and sale of electricity. It generates electricity through 79 hydroelectric plants, two thermoelectric plants, and 27 wind farms.",,http://www.cemig.com.br,2.9Bil,0.2Bil,5.7Bil,"7,786",Utilities,Utilities - Diversified
CBD,Companhia Brasileira De Distribuicao ADR,"Companhia Brasileira De Distribuicao operates in the food retailing, clothing, home appliances, electronics and other products segment through its chain of hypermarkets, supermarkets, specialized and department stores.",,http://www.gpari.com.br,4.2Bil,-126.5Mil,20.6Bil,"145,817",Consumer Cyclical,Department Stores
SBS,Companhia De Saneamento Basico Do Estado De Sao Paulo ADR,"Companhia De Saneamento Basico Do Estado De Sao Paulo provides water & sewage services to residential, commercial, industrial & governmental customers. It also supplies water on wholesale basis & provides related consulting services.",,http://www.sabesp.com.br,5.7Bil,0.4Bil,3.8Bil,"14,227",Utilities,Utilities - Regulated Water
ELP,Energy Company of Parana ADR,,,http://www.copel.com,2.3Bil,0.5Bil,3.9Bil,"8,628",Utilities,Utilities - Diversified
CCU,United Breweries Co Inc ADR,"United Breweries Co Inc is a multi-category branded beverage company operating in Chile, Argentina and Uruguay and has an extensive wine export business to more than 80 countries.",,http://www.ccu.cl,3.7Bil,0.1Bil,2.3Bil,"8,100",Consumer Defensive,Beverages - Brewers
CODI,Compass Diversified Holdings,Compass Diversified Holdings acquires controlling interests in and actively manage businesses that the company thinks operate in industries with long-term macroeconomic growth opportunities.,High,http://www.compasstrust.com,1.0Bil,50.7Mil,0.9Bil,107,Industrials,Conglomerates
CMP,Compass Minerals International Inc,"Compass Minerals International Inc is a producer of minerals, including salt, sulfate of potash specialty fertilizer ('SOP') and magnesium chloride. It operates 12 production and packaging facilities.",High,http://www.compassminerals.com,2.6Bil,0.1Bil,1.0Bil,"1,984",Basic Materials,Industrial Metals & Minerals
CSC,Computer Sciences Corp,Computer Sciences Corp provides information technology (IT) services and solutions. The Company's reportable segments are Global Business Services (GBS) and Global Infrastructure Services (GIS).,Slow,http://www.csc.com,8.8Bil,-89.0Mil,7.4Bil,"59,000",Technology,Information Technology Services
CRK,Comstock Resources Inc,"Comstock Resources Inc along with its subsidiaries are engaged in the acquisition, development, production and exploration of oil and natural gas.",Hard,http://www.comstockresources.com,0.1Bil,-368.7Mil,0.2Bil,125,Energy,Oil & Gas E&P
CAG,Conagra Brands Inc,"Conagra Brands Inc is a packaged food company. It sells its products through grocery, convenience, mass merchandise, and club stores.",Slow,http://www.conagrabrands.com,16.1Bil,0.7Bil,11.5Bil,"20,900",Consumer Defensive,Packaged Foods
CXO,Concho Resources Inc,"Concho Resources Inc. is an oil and natural gas company. It is engaged in the acquisition, development, exploitation and exploration of producing oil and natural gas properties. It operates in the Delaware Basin.",Hard,http://www.conchoresources.com,19.0Bil,-1338.1Mil,1.5Bil,"1,121",Energy,Oil & Gas E&P
CCM,Concord Medical Services Holdings Ltd ADR,Concord Medical Services Holdings Ltd operates radiotherapy and diagnostic imaging centers in China. It offers medical equipment leasing & operational management services to help hospitals and dedicated to radiotherapy & diagnostic.,,http://www.concordmedical.com,0.2Bil,-28.1Mil,79.2Mil,745,Healthcare,Medical Care
CNNX,CONE Midstream Partners LP,"CONE Midstream Partners LP owns, operates, develops and acquires natural gas gathering and other midstream energy assets in the Marcellus Shale in Pennsylvania and West Virginia.",Hard,http://www.conemidstream.com,1.3Bil,0.2Bil,0.2Bil,95,Energy,Oil & Gas Midstream
COP,ConocoPhillips,"ConocoPhillips is an independent exploration and production (E&P) company. The Company is engaged in exploration, development and production of crude oil and natural gas.",Hard,http://www.conocophillips.com,55.5Bil,-7030.0Mil,23.9Bil,"14,900",Energy,Oil & Gas E&P
CNX,Consol Energy Inc,Consol Energy Inc is an integrated energy company. The Company's business divisions are oil and gas exploration and production (E&P) and coal mining.,Hard,http://www.consolenergy.com,4.2Bil,-511.7Mil,2.7Bil,"3,114",Energy,Oil & Gas E&P
ED,Consolidated Edison Inc,"Consolidated Edison Inc, through its subsidiaries, provides regulated electric and gas delivery, electricity to retail customers, energy-related products and services, and develops, owns and operates renewable and energy infrastructure projects.",Slow,http://www.conedison.com,21.2Bil,1.2Bil,12.1Bil,"13,393",Utilities,Utilities - Regulated Electric
